COUNTRY,DATE_IMPLEMENTED,CATEGORY,MEASURE,COMMENTS
Egypt,2020-05-03,Social distancing,Closure of businesses and public services,"May 3, that hotels may progressively begin operations amid the ongoing COVID-19 pandemic. So long as hotels operate at 25 percent capacity or less through the month of May, they may accept domestic tourists. Hotels are required to have in-house medical staff and conduct temperature screenings of guests, as well as install disinfection equipment."
Egypt,2020-05-07,Social distancing,Closure of businesses and public services,hotels may operate at 30%
Egypt,2020-05-11,Lockdown,Partial lockdown,north of Cairo under lockdown May 11-22
Egypt,2020-05-11,Movement restrictions,Domestic travel restrictions,no enterence or exit north of Cairo under lockdown May 11-22
Egypt,2020-05-19,Movement restrictions,International flights suspension,suspension of all international passenger flights will be extended until further notice. Flights were originally suspended on March 19. Restrictions on movement are expected to remain in place until at least June 13.
Egypt,2020-05-22,Lockdown,Partial lockdown,north of Cairo under lockdown May 11-22
Egypt,2020-05-22,Movement restrictions,Domestic travel restrictions,no enterence or exit north of Cairo under lockdown May 11-22
Egypt,2020-05-23,Movement restrictions,Curfews,"From 24 to 29 May, the curfew will run between 17.00 and 06.00 coinciding with the six-day Eid holiday period."
Egypt,2020-05-23,Movement restrictions,Domestic travel restrictions,"From 24 to 29 May, public transport will be halted"
Egypt,2020-05-23,Social distancing,Closure of businesses and public services,"From 24 to 29 May, on-essential shops, restaurants and parks will continue to remain closed."
Egypt,2020-05-30,Movement restrictions,Curfews,"Starting on 30 May and until further notice, the curfew will run from 20.00 to 06.00. Curfew was also announced in some areas of North Sinai governorate from 19.00 to 06.00, with an exception to the capital of governorate al-Arish, where night-time curfew timing is 01.00-05.00."
Egypt,2020-05-30,Public health measures,Requirement to wear protective gear in public,"face masks will be made compulsory on trains and metros in Egypt from May 30. Commuters will not be allowed to travel without a face mask, and those found traveling without one may be fined. The government also stated that from May 30, those using any public or private transport, or entering public spaces, will be required to wear face masks. Several private and public establishments have already introduced this requirement for customers."
Egypt,2020-06-01,Social distancing,Closure of businesses and public services,"Beginning Monday, June 1, hotels may operate at a maximum 50 percent capacity. Other restrictions on events and gatherings apply, and international passenger flights remain suspended."
Egypt,2020-06-14,Movement restrictions,Curfews,"June 14, the curfew hours will change to 8:00 p.m. to 4:00 a.m."
Egypt,2020-06-24,Public health measures,Requirement to wear protective gear in public,"The wearing of face masks remains mandatory in closed public spaces, including in government buildings, private offices, malls, and retail outlets, as well as public transport including private taxis. Fines may be issued for non-compliance to government directives."
Egypt,2020-06-27,Social distancing,Closure of businesses and public services,"June 27. Cafes, restaurants, places of worships, cinemas, cultural centers, and sports facilities will be permitted to partially reopen. Cafes and restaurants will be limited to 25-percent capacity, and will have to close by 22:00 (local time). Shops will have to close by 21:00"
Egypt,2020-06-27,Movement restrictions,Curfews,The nationwide curfew will be reduced to 00:00 to 04:00.
Egypt,2020-07-01,Movement restrictions,International flights suspension,allow scheduled international flights
Egypt,2020-07-01,Movement restrictions,Visa restrictions,Operations and foreign tourist resorts to reopen in coastal areas from July 1.
Egypt,2020-08-11,Public health measures,Strengthening the public health system,"Officials in Egypt warned of a possible second wave of coronavirus disease (COVID-19) cases on Tuesday, August 11, as back-to-back significant increases in new cases and deaths were reported. Officials reported 174 new cases on Monday, August 10, as well as 26 deaths. Isolation hospitals were reopened on Tuesday in preparation for a possible spike in cases."
Egypt,2020-08-11,Public health measures,General recommendations,Ministry of Health has asked those that are over 60 or suffering from pre-existing conditions to avoid gatherings.
Egypt,2020-08-11,Public health measures,Testing policy,"restrictions will be implemented from September 1, in an effort to curb the further spread of the coronavirus disease (COVID-19). Under the new restrictions, all travelers, including Egyptian nationals, will be required to present a negative polymerase chain reaction (PCR) test upon entry into the country."
Egypt,2020-08-17,Governance and socio-economic measures,Economic measures,The Egyptian authorities are carrying out a number of national megaprojects to increase aggregate demand and create jobs.
India,2020-01-08,Movement restrictions,Curfews,removal of restrictions on movement of individuals during night (Night curfew)
India,2020-01-08,Social distancing,Schools closure,"Schools, colleges and coaching institutions to remain closed till August 31, 2020"
India,2020-01-08,Social distancing,Limit public gatherings,"Independence Day functions will be allowed with social distancing and by following other health protocols,"
India,2020-01-08,Public health measures,Requirement to wear protective gear in public,Masks required in gatherings
India,2020-01-08,Lockdown,Partial lockdown,"Lockdown shall continue to be implemented strictly in the Containment Zones till 31 August, 2020."
India,2020-01-25,Public health measures,Health screenings in airports and border crossings,screening for travellers from 2019-nCoV affected countries (China) at points of entry
India,2020-01-25,Public health measures,Strengthening the public health system,establish In country/ community surveillance through the Integrated Disease Surveillance Programme network(IDSP)
India,2020-02-26,Public health measures,Isolation and quarantine policies,"Indian citizens are advised to refrain from travel to China. People travelling to China henceforth will be quarantined on return. Indian citizens are advised to refrain from non-essential travel to Singapore, Republic of Korea, Iran, and Italy."
India,2020-02-26,Public health measures,Isolation and quarantine policies,"People coming from Republic of Korea, Iran and Italy or those having history of travel to these countries may be quarantined for 14 days on arrival to India."
India,2020-02-26,Movement restrictions,Visa restrictions,Existing visas (including eVisa already issued) of those traveling from China to India are no longer valid for any foreign national travelling from China.
India,2020-03-02,Movement restrictions,Visa restrictions,"Indian citizens are advised to refrain from travel to COVID-19 affected Countries (China, Republic of Korea, Islamic Republic of Iran, Italy and Japan). For those planning a visit to India from these countries, Existing visas (including eVisa already issued) are no longer valid for any foreign national travelling from these countries."
India,2020-03-03,Movement restrictions,Visa restrictions,"All regular (sticker) Visas/e-Visa (including VoA for Japan and South Korea) granted to nationals of Italy, Iran, South Korea, Japan and issued on or before 03.03.2020 and who have not yet entered India, stand suspended with immediate effect. Such foreign nationals may not enter India from any Air, Land or Seaport ICPs. Regular (sticker) visas/e-Visas granted to all foreign nationals who have travelled to Peoples Republic of China, Iran, Italy, South Korea and Japan on or after 01.02.2020, and who have not yet entered India stand suspended with immediate effect.  Such foreign nationals may not enter India from any Air, Land or Seaport ICPs."
India,2020-03-03,Public health measures,Health screenings in airports and border crossings,"Passengers (foreign and Indian) other than those restricted, arriving directly or indirectly from China, South Korea, Japan, Iran, Italy, Hong Kong, Macau, Vietnam, Malaysia, Indonesia, Nepal, Thailand, Singapore and Taiwan must undergo medical screening at port of entry."
India,2020-03-05,Public health measures,Health screenings in airports and border crossings,health scrrens at border crossings
India,2020-03-05,Social distancing,Limit public gatherings,Advisory against mass gatherings
India,2020-03-06,Movement restrictions,Visa restrictions,"Indian citizens are advised to refrain from travel to China, Iran, Republic of Korea, Italy & Japan and advised to avoid non-essential travel to other COVID-19 affected countries. All regular (sticker) Visas/e-Visa (including VoA for Japan and South Korea) granted to nationals of Italy, Iran, South Korea, Japan and issued on or before 03.03.2020 and who have not yet entered India, stand suspended with immediate effect. Regular (sticker) visa / e-Visa granted to nationals of Peoples Republic of China, issued on or before 05.02.2020 were suspended earlier. It shall remain in force. Regular (sticker) visas/e-Visas granted to all foreign nationals who have travelled to Peoples Republic of China, Iran, Italy, South Korea and Japan on or after 01.02.2020, and who have not yet entered India stand suspended with immediate effect."
India,2020-03-06,Public health measures,Health screenings in airports and border crossings,All international Passengers entering into India are required to furnish duly filled self-declaration form (including personal particulars i.e. phone no. and address in India) to Health Officials and Immigration officials and undergo Universal Health Screening at the designated health counters at all Points of Entry.
India,2020-03-10,Movement restrictions,Additional health/documents requirements upon arrival,Incoming travelers having visited Italy or Korea to produce negative COVID-19 health certificate
India,2020-03-10,Public health measures,Isolation and quarantine policies,"all passengers having travel history to China, Hong Kong, Republic of Korea, Japan, Italy, Thailand, Singapore, Iran, Malaysia, France, Spain and Germany are advised to undergo self-imposed quarantine for a period of 14 days from the date of their arrival."
India,2020-03-10,Movement restrictions,Visa restrictions,"All regular Visas (including e Visas) which have been granted to nationals of France, Germany and Spain on or before 11.03.2020 and where these foreigners have not yet entered India stands suspended."
India,2020-03-10,Public health measures,General recommendations,"Indian citizens are advised to avoid non- essential travel abroad. They are further strongly advised to refrain from travelling to China, Italy, Iran, Republic of Korea, Japan, France, Spain and Germany."
India,2020-03-11,Public health measures,Isolation and quarantine policies,"Incoming travelers, including Indian nationals, are advised to avoid non-essential travel and are informed that they can be quarantined for a minimum of 14 days on their arrival in India. Indian nationals are further strongly advised to refrain from travelling to China, Italy, Iran, Republic of Korea, France, Spain and Germany."
India,2020-03-11,Movement restrictions,Border checks,International traffic through land borders will be restricted to designated check posts with robust screening facilities.
India,2020-03-13,Movement restrictions,Visa restrictions,"Suspension of all visas except diplomatic, offical, UN, employment and project until April 15th"
India,2020-03-13,Public health measures,Isolation and quarantine policies,"Incoming travelers (including Indians) have visited China, Italy, Iran, Republic of Korea, France, Spain and Germany after 15th February, 2020 quarantine 14 days"
India,2020-03-13,Movement restrictions,Border closure,"All passenger movements through all Immigration Land Check Posts located at Indo-Bangladesh Border, Indo-Nepal Border, Indo-Bhutan Border, and Indo-Myanmar Border will be suspended with effect from 00:00 hours March 15, 2020 until further orders, except through designated posts."
India,2020-03-13,Public health measures,Health screenings in airports and border crossings,Intensified health inspections at all these entry points. Subject to quarantine if symptomatic.
India,2020-03-14,Governance and socio-economic measures,Emergency administrative structures activated or established,Invoking use of emergency protocol & funds
India,2020-03-15,Governance and socio-economic measures,Economic measures,Assistance to COVID-19 victims and families of deceased
India,2020-03-15,Movement restrictions,Border closure,"temporary closure of specified Indian land border crossings with Bangladesh, Nepal, Myanmar and Bhutan until 15 April"
India,2020-03-15,Movement restrictions,Border closure,"Additional border restrictions, modifying the announcement from 13 March 2020. Suspending all types of passenger movements through all Immigration Land Check Posts. In effect 00:00 hours on March 15, except at the India-Pakistan border where it will go into effect from 00:00 hours on March 16."
India,2020-03-16,Lockdown,Partial lockdown,closure of selected public institutions such as museums (incl. Taj Mahal) until March 31 and postponement of several local elections
India,2020-03-17,Movement restrictions,International flights suspension,"�Travel of passengers from Afghanistan, Philippines, Malaysia to India is prohibited with immediate effect. No flight shall take off from these countries to India after 1500 hours Indian Standard Time (IST)� till 31st March 2020 and will be reviewed subsequently.�"
India,2020-03-18,Public health measures,Isolation and quarantine policies,"Introduction of quarantine policiesfor travelers expanded to those coming or transiting from UAE, Qatar, Oman, Kuwait starting 18 March until 31 March"
India,2020-03-18,Movement restrictions,Visa restrictions,"ban of entry for passengers from EU countries, EFTA countries, Turkey, UK from 18 March"
India,2020-03-20,Public health measures,Isolation and quarantine policies,"All asymptomatic individuals who have undertaken international travel in the last 14 days should stay in home quarantine for 14 days, be tested only if symptomatic, and all family members living with a confirmed case should be quarantined."
India,2020-03-20,Public health measures,Testing policy,"Testing all symptomatic contacts of laboratory confirmed cases, symptomatic health care workers, and all hospitalized patients with Severe Acute Respiratory Illness."
India,2020-03-22,Movement restrictions,International flights suspension,"No international flights to take off for India from foreign airports after 0001 hrs GMT of March 22, 2020 until 0001 hrs GMT March 29, 2020. 20 hours maximum travel time. So no incoming international passengers allowed on Indian soil (foreigner or Indian) after 2001 hrs GMT of March 22, 2020."
India,2020-03-24,Lockdown,Full lockdown,Complete lockdown of entire nation for 21 days. Agriculture-Farming and allied activities exempted from Lockdown (announced 3/28)
India,2020-03-24,Governance and socio-economic measures,Economic measures,"Deploy fiscal resources for additional medical facilities, central instruct state government"
India,2020-03-26,Governance and socio-economic measures,Economic measures,Govt asks distilleries / sugar mills to maximize manufacture of hand sanitizers
India,2020-03-26,Governance and socio-economic measures,Economic measures,Relief Package towards responsive Governance in Challenging Times Which Will Provide Relief to Vulnerable Sections
India,2020-03-30,Governance and socio-economic measures,Economic measures,Govt gives benefits to farmers on crop loan repayments due to Covid-19 lockdown
India,2020-04-02,Public health measures,Strengthening the public health system,adopt community-approach in the battle against the pandemic
India,2020-04-03,Social distancing,Limit public gatherings,Advise religious leaders to not hold any congregations/ functions
India,2020-04-03,Social distancing,Limit public gatherings,"extended the period of completion of election including postponing the date of poll and counting concerning elections to the Council of States, since the electoral process necessarily involves movement and gathering of polling officials, agents of political parties, support officials and members of respective Legislative Assemblies on the poll day, which may put public safety at risk and create public health hazard."
India,2020-04-04,Lockdown,Partial lockdown,More lockdown relaxations for Agriculture-Farming sector
India,2020-04-04,Governance and socio-economic measures,Economic measures,"CBDT issues orders u/s 119 of IT Act,1961 to mitigate hardships to taxpayers arising out of compliance of TDS/TCS provisions"
India,2020-04-04,Public health measures,Awareness campaigns,Manual on Home Made Masks to prevent COVID-19
India,2020-04-09,Governance and socio-economic measures,Economic measures,COVID-19 Emergency Response and Health System Preparedness Package Posted On: 09 Apr 2020
India,2020-04-16,Public health measures,Other public health measures enforced,"MoS Agriculture, Shri Kailash Choudhary inaugurates Pusa Decontamination & Sanitizing Tunnel"
India,2020-04-17,Governance and socio-economic measures,Military deployment,Armed Forces Medical Services deployed
India,2020-04-18,Governance and socio-economic measures,Economic measures,Amends the extant FDI policy for curbing opportunistic takeovers/acquisitions of Indian companies due to the current COVID-19 pandemic
India,2020-04-19,Public health measures,Strengthening the public health system,Government launches online data pool of critical human resource for combating and containing Covid-19
India,2020-04-21,Movement restrictions,Surveillance and monitoring,"launches �COVID India Seva�, an interactive platform for citizen engagement on COVID-19 Po"
India,2020-04-21,Lockdown,Partial lockdown,"In-house Care-givers of Senior Citizens, Prepaid mobile recharge utilities, Food processing units in urban areas exempt from Lockdown Restrictions to fight COVID-19 Post"
India,2020-04-22,Public health measures,General recommendations,Advisory against spraying of disinfectant on people for COVID-19 management
India,2020-04-24,Movement restrictions,Surveillance and monitoring,"COVID-19 GIS Dashboard: This is a location-based information system used to geotag - people who are home quarantined (purple colour dots on map), last location of COVID-19 positive persons (Red Drop Marks), Area Cordoning (Black lines), Lane closure, etc.. Once a patient is found to be COVID-19 positive, his/her last location of stay is marked on the dashboard. Similarly, all home quarantined persons are marked on the map. This information is used to generate a heat map which helps classify areas from low risk to high risk. This dashboard is also used to identify epicentres of COVID-19 cases which helps the Health Department to identify locations for immediate spraying of disinfectants."
India,2020-04-25,Lockdown,Partial lockdown,"MHA allows opening of certain categories of shops. In rural areas, all shops, except those in shopping malls are allowed to open.In urban areas, all standalone shops, neighborhood shops & shops in residential complexes are allowed to open. Shops in markets/market complexes and shopping malls are not allowed to open.It is clarified that sale by e-commerce companies will continue to be permitted for essential goods only."
India,2020-04-26,Governance and socio-economic measures,Economic measures,States promotes the concept of �Direct marketing� to facilitate farmers/ group of farmers/FPOs/ Cooperatives in selling their produce to bulk buyers/big retailers/processors etc.
India,2020-04-27,Governance and socio-economic measures,Economic measures,Gov is focusing on easing policy and implementation bottleneck to supply chains of essential items
India,2020-04-28,Public health measures,Isolation and quarantine policies,Guidelines issues for home isolation of very mild / pre-symptomatic patients
India,2020-04-28,Governance and socio-economic measures,Economic measures,$1.5 billion loan to support government's response to COVID-19 pandemic
India,2020-04-28,Governance and socio-economic measures,Economic measures,"Rs. 50 lakh compensation for Port employees/workers, in case of loss of life from COVID-19"
India,2020-04-29,Public health measures,Strengthening the public health system,"HCARD, a robot, to assist frontline COVID-19 healthcare warriors"
India,2020-04-29,Public health measures,Awareness campaigns,"a dash board about COVID-19 situation in KDMC area is now available in public domain. The page has been linked with the website of municipal corporation, and other social media handles of city government (such as Facebook, Twitter, Instagram), and is open for viewing by public. ashboard can be accessed at https://kdmc-coronavirus-response-skdcl.hub.arcgis.com/"
India,2020-04-30,Governance and socio-economic measures,Economic measures,Reimbusement of OPD medicnes to CS (MA) beneficiaries: Special Sanction in view of COVID-19 reg.
India,2020-05-01,Public health measures,Strengthening the public health system,"Additional guidelines on rational use of Personal
Protective Equipment (setting approach for Health functionaries working in non-COVID areas)"
India,2020-05-03,Movement restrictions,Domestic travel restrictions,Railways only accepting passengers BROUGHT and FACILITATED by State Governments.
India,2020-05-04,Lockdown,Partial lockdown,"Extension of Lockdown for a further period of Two Weeks with effect from May 4, 2020"
India,2020-05-04,Public health measures,Awareness campaigns,raise awareness for blood donation
India,2020-05-04,Governance and socio-economic measures,Economic measures,measures for livelihood and security of tribal gatherers and artisans in the backdrop of situation arising out of COVID-19
India,2020-05-04,Social distancing,Closure of businesses and public services,"Civil Services (Preliminary) Examination, 2020, scheduled on 31st May deferred: Taking notice of the extension of restrictions, the UPSC has decided that it will not be possible to resume examinations and interviews for the present. The Civil Services (Preliminary) Examination, 2020, scheduled to be held on May 31, 2020 therefore stands deferred."
India,2020-05-06,Movement restrictions,Visa restrictions,"All existing Visas granted to Foreigners, except certain categories, to remain suspended till the Prohibition on International Air Travel of passengers from/to India is lifted"
India,2020-05-08,Governance and socio-economic measures,Economic measures,The Government of India and the Asian Infrastructure Investment Bank (AIIB) signed a US$ 500 million �COVID-19 Emergency Response and Health Systems Preparedness Project� today to help India to respond to the COVID-19 pandemic and strengthen its public health preparedness
India,2020-05-08,Governance and socio-economic measures,Economic measures,Vice President�s family donates Rs.10 lakhs- Rs.5 lakh each for fight against COVID-19 and for Ayodhya temple
India,2020-05-10,Public health measures,Strengthening the public health system,Adequate health infrastructure and health facilities set up for COVID-19 management. Adequate health infrastructure and health facilities have been identified and set up for COVID-19 management in the country.
India,2020-05-11,Governance and socio-economic measures,Emergency administrative structures activated or established,"Union Ministry of Home Affairs has issued detailed guidelines under the Disaster Management Act, 2005, on restarting manufacturing industries after the lockdown period."
India,2020-05-12,Movement restrictions,Domestic travel restrictions,Passenger services on Indian Railways shall be partially restored w.e.f. from 12th May 2020 in a graded manner
India,2020-05-13,Governance and socio-economic measures,Economic measures,"special economic package of Rs 20 lakh crore. Finance Minister announce measures for relief and credit support related to businesses, especially MSMEs to support Indian Economy�s fight against COVID-19."
India,2020-05-15,Governance and socio-economic measures,Economic measures,"short term and long-term measures for supporting the poor, including migrants, farmers, tiny businesses and street vendors"
India,2020-05-15,Governance and socio-economic measures,Economic measures,Interest subvention on Working Capital Loans for Dairy sector due to lockdown
India,2020-05-15,Public health measures,Other public health measures enforced,"sensor-based service delivery monitoring system in rural drinking water sector under Jal Jeevan Mission. Owing to the current situation of CoVid-19 pandemic, water has to be made available for all."
India,2020-05-17,Governance and socio-economic measures,Economic measures,structural reforms across Eight Sectors
India,2020-05-17,Movement restrictions,Surveillance and monitoring,"National Migrant Information System (NMIS) - a central online repository on Migrant Workers - developed by NDMA to facilitate their seamless movement across States. It has additional advantages like contact tracing, which may be useful in overall COVID-19 response work."
India,2020-05-18,Lockdown,Partial lockdown,"Extension of Lockdown up to May 31, 2020; States to decide various Zones and Activities to be allowed in these Zones; Certain activities to remain prohibited throughout the Country"
India,2020-05-18,Public health measures,General recommendations,new normal
India,2020-05-21,Movement restrictions,Domestic travel restrictions,"amended the guidelines on lockdown measures to fight COVID-19, so as tofacilitate domestic air travel for stranded persons in India."
India,2020-05-24,Governance and socio-economic measures,Economic measures,extension of validity of fee payment and extension of time period for paying fees as mandated under rule 32 and 81 of Central Motor Vehicle Rules 1989
India,2020-05-25,Governance and socio-economic measures,Economic measures,Prices of N-95 Masks are getting reduced by the Importers/ Manufacturers/Suppliers of N-95 Masks after an Advisory issued by NPPA
India,2020-05-26,Governance and socio-economic measures,Emergency administrative structures activated or established,validity of approval or certifications of hotels and other accommodation units whose project approvals/reapprovals and classification/reclassification have expired/are likely to expire during the period (24.03.2020 to 29.6.2020) are deemed to be extended till 30.06.2020
India,2020-05-29,Movement restrictions,Surveillance and monitoring,IT initiatives to fight COVID-19. SMC has developed SMC COVID-19 Tracker System which includes a web portal and Mobile application named �SMC COVID-19 Tracker� to track people who have abroad or interstate travel history and persons who have come in direct contact with positive COVID-19 individuals.
India,2020-05-30,Public health measures,Strengthening the public health system,Scaling up of COVID testing centres (Hub and spoke model) in National research laboratories and Universities
India,2020-06-01,Movement restrictions,Domestic travel restrictions,Indian Railways will start operations of 200 passenger services as listed in the annexure. These trains shall run from 1/6/2020 and booking of all these trains will commence from 10 am on 21/05/20
India,2020-06-03,Movement restrictions,Visa restrictions,Relaxation in Visa and Travel restrictions to permit certain categories of Foreign Nationals to come to India
India,2020-06-04,Public health measures,Testing policy,Delhi to ramp up testing
India,2020-06-04,Movement restrictions,Surveillance and monitoring,Delhi to conduct contact tracing
India,2020-06-08,Governance and socio-economic measures,Economic measures,Union Govt. releases Rs. 890.32 cr as II installment of COVID-19 Financial Package to States/Uts
India,2020-06-08,Governance and socio-economic measures,Economic measures,"RBI provides additional monetary support to housing, rural and priority sectors"
India,2020-06-13,Public health measures,Strengthening the public health system,Updated clinical management protocol for COVID-19
India,2020-06-15,Lockdown,Partial lockdown,"Total lockdown from 19th to 30th June in Chennai, Thiruvallur, Kanchipuram, and Chengalpattu districts"
India,2020-06-18,Public health measures,Strengthening the public health system,Launch of India's first mobile lab for testing remote parts of the country
India,2020-06-19,Governance and socio-economic measures,Economic measures,Government of India & AIIB sign an Agreement for $750 Million for COVID-19 support for India
India,2020-06-19,Public health measures,Isolation and quarantine policies,Revised guidelines for effective Home Isolation
India,2020-06-19,Movement restrictions,Surveillance and monitoring,IT-based model of Comprehensive Contact Tracing and House-to-House Survey
India,2020-06-20,Governance and socio-economic measures,Economic measures,"boost employment and livelihood opportunities for migrant workers returning to villages, in the wake of COVID-19 outbreak"
India,2020-06-20,Public health measures,Strengthening the public health system,Indian Railways has started providing care to corona patients referred for admission in COVID Coaches deployed in various states.
India,2020-06-21,Movement restrictions,Surveillance and monitoring,"BMC adopted a model of actively following four T�s � Tracing, Tracking, Testing and Treating. This approach included activities like proactive screening."
India,2020-06-21,Public health measures,Strengthening the public health system,"public private partnerships in containment measures and all available �private� practitioners were mobilized. BMC provided the private doctors with PPE Kits, thermal scanners, pulse Oxymeters, masks and gloves and started Door-to-Door screening in high risk zones and all suspects were identified."
India,2020-06-21,Public health measures,Isolation and quarantine policies,"As the option of home quarantine could not effectively produce the desired outcomes due to the space limitations in the congested area, institutional quarantine facilities were created in all available schools, marriage halls, sports complexes, etc"
India,2020-06-22,Public health measures,Isolation and quarantine policies,"quarantine for the high risk/vulnerable population from containment zones. With a view to reducing mortality, vulnerable population groups are line listed including more than 60 years old, those having cardiac or renal disease, hypertension, diabetes or with immune-compromised conditions etc. Such persons are offered facility of Government quarantine outside their containment zone till their area comes out of containment."
India,2020-06-22,Public health measures,Strengthening the public health system,Ramp up testing capacity
India,2020-06-23,Governance and socio-economic measures,Economic measures,"PM CARES Fund Trust has allocated Rs. 2000 crore for supply of 50000 �Made-in-India� ventilators to government run COVID hospitals in all States/UTs. Further, a sum of Rs. 1000 crore has been allocated for the welfare of migrant labourers."
India,2020-06-23,Public health measures,Strengthening the public health system,"A free-of-charge telemedicine helpline service (14410) has been made operational in addition to the 104 helpline. Equipped with an interactive voice response (IVR) system-based module, this provides medical advice and informs people on various COVID-19 related resources with the help of over 300 qualified medical professionals"
India,2020-07-05,Public health measures,Awareness campaigns,campaign to transform �Local� India into a �Glocal� India
India,2020-07-06,Governance and socio-economic measures,Economic measures,"$750 million agreement for the MSME Emergency Response Programme to support increased flow of finance into the hands of micro, small, and medium enterprises (MSMEs), severely impacted by the COVID-19 crisis.The World Bank�s MSME Emergency Response Programme will address the immediate liquidity and credit needs of some 1.5 million viable MSMEs to help them withstand the impact of the current shock and protect millions of jobs."
India,2020-07-06,Governance and socio-economic measures,Economic measures,The World Bank and the Government of India today signed a loan agreement to enhance support for the NamamiGangeprogramme that seeks to rejuvenate the Ganga river. The Second National Ganga River Basin Project (SNBGRB)will help stem pollution in the iconic river and strengthen the management of the river basin which is home to more than 500 million people.The $400 million operation comprises a loan of $381 million and a proposed Guarantee of up to $19 million. The SNGRBP will finance sewage networks and treatment plants in select urban areas to help control pollution discharges. These infrastructure investments and the jobs they will generate will also help India�s economic recovery from the COVID-19 crisis.
India,2020-07-08,Governance and socio-economic measures,Economic measures,Cabinet approves developing of Affordable rental housing Complexes for urban migrants / poor
India,2020-07-13,Governance and socio-economic measures,Limit product imports/exports,"In view of COVID-19 pandemic situation, the Government has extended relief to gems and jewellery sector by relaxing the requirement of re-import of cut and polished diamonds, which have been sent abroad for certification and grading, by three months. This extension shall apply to all cut and polished diamonds that should have been re-imported between 1st Feb. 2020 to 31st July 2020 but which could not be brought back due to disruption on account of COVID-19 pandemic situation. The re-import in the extended period would be without payment of Basic Customs Duty (BCD) and IGST. This facility is available to exporters with average annual export turnover of Rs. 5 crore for the last three years."
India,2020-07-14,Public health measures,Other public health measures enforced,"Indian Railways has taken numerous steps and measures to prevent the spread of COVID-19 virus infection. Sustaining the ruthless fight against COVID-19, Indian Railways� production unit, Rail Coach Factory, Kapurthala, has developed a Post- Covid Coach to fight Covid-19. This Post-Covid Coach has design improvements in the coach like hands-free amenities, copper-coated handrails & latches, plasma air purification and titanium di-oxide coating for Covid free passenger journey."
India,2020-07-20,Public health measures,Awareness campaigns,Nation-wide CSR campaign for Distribution of Mask and Sanitizer to prevent Spread of COVID-19
India,2020-07-21,Public health measures,Psychological assistance and medical social work,psychosocial support to students for their Mental Health and Well-being
India,2020-07-24,Public health measures,Strengthening the public health system,Accelerated increase in lab infrastructure continues to drive the �Test Track and Treat� strategy; More than 1.5 Cr COVID-19 samples tested so far
India,2020-07-28,Public health measures,Strengthening the public health system,"COVID testing facilities at Kolkata, Mumbai and Noida"
India,2020-07-28,Public health measures,Testing policy,free testing and treatment facilities to COVID 19 patients
India,2020-07-30,Governance and socio-economic measures,Emergency administrative structures activated or established,"Ministry of Home Affairs (MHA) issued new guidelines yesterday, for opening up of more activities in areas outside the Containment Zones. In Unlock 3, which will come into effect from August 1, 2020, the process of phased re-opening of activities has been extended further."
India,2020-08-08,Movement restrictions,Additional health/documents requirements upon arrival,"India-bound international arriving flyers can fill the mandatory self-declaration form and also apply online for exemption from mandatory institution quarantine process. This facility will be available for all international arriving passengers from August 8, 2020."
India,2020-08-19,Governance and socio-economic measures,Economic measures,Cabinet approves measures to provide liquidity in the Power Sector Dues to the financial stress caused by COVID-19
India,2020-09-08,Governance and socio-economic measures,Economic measures,financing facility of Rs. 1 Lakh Crore under Agriculture Infrastructure Fund
Indonesia,2020-01-26,Public health measures,General recommendations,NA
Indonesia,2020-01-26,Public health measures,Awareness campaigns,"If you need help, immediately report to the local authority with telephone number 9155 4023 or the Indonesian Consulate General in Hong Kong, via: Social Media: facebook.com/kjrihk / WA Hotline: 6773 0466, 5294 4184"
Indonesia,2020-02-02,Public health measures,Isolation and quarantine policies,NA
Indonesia,2020-02-02,Movement restrictions,Visa restrictions,the policy of granting visa and visa on arrivals visa-free facilities for Chinese citizens residing in Mainland China is temporarily suspended. all arrivals who arrived from Mainland China and had been there for 14 days were temporarily not permitted to enter and transit in Indonesia.
Indonesia,2020-02-02,Public health measures,General recommendations,the government asked Indonesian nationals temporarily unable to travel to Mainland China.
Indonesia,2020-02-05,Movement restrictions,International flights suspension,direct flights to and from China China have been temporarily suspended starting Wednesday at 00.00.
Indonesia,2020-03-08,Movement restrictions,Visa restrictions,"All foreign travellers, with the exception of nationals, who have been in or transited through mainland China, excluding Hong Kong and Macao, in the previous 14 days, including the airline crew, will not be granted a visa or granted entry/transit."
Indonesia,2020-03-08,Movement restrictions,Visa restrictions,"Visa-on-arrival and visa free entry have been suspended for mainland Chinese nationals, with exception to Hong Kong and Macao (both SAR) passport holders. It has also been suspended for all travellers from Iran, Italy, mainland China and South Korea."
Indonesia,2020-03-08,Movement restrictions,Visa restrictions,"From 8 March, the entry and transit ban will be expanded to include travellers with a travel history to Daegu and Gyeongsangbuk-do in South Korea; Tehran, Qom and Gilan in Iran; Lombardi, Venetto, Emilia-Romagna, Marche and Piedmont regions in Italy 14 days prior to arrival."
Indonesia,2020-03-08,Movement restrictions,Additional health/documents requirements upon arrival,"Travellers from Iran, Italy and South Korea who come from outside the above mentioned areas must provide medical certificates issued within seven days by health authorities, proving them free of COVID-19 upon arrival"
Indonesia,2020-03-08,Movement restrictions,International flights suspension,"suspend entry or transit in Indonesia to incoming visitors/travelers who have traveled to Iran, Italy, or South Korea in the last 14 days"
